feature_lane,route_dag,active_component_ids,required_packets,schemas_present,validator_rules,quality_gates,lineage_supported,provider_boundary_safe,dry_run_supported,status,gap
voice_context,voice_context,S-210-final-script-packager|P-302-platform-format-specialist,script_segment_packet|topic_intake_packet|voice_context_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,script_segment_quality_gate|voice_context_quality_gate,True,True,True,PASS_PLANNING_ONLY,
visual_context,visual_context,S-210-final-script-packager|P-303-asset-brief-creator,script_segment_packet|topic_intake_packet|visual_context_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,script_segment_quality_gate|visual_context_quality_gate,True,True,True,PASS_PLANNING_ONLY,
video_context,video_context,S-210-final-script-packager|P-303-asset-brief-creator,script_segment_packet|topic_intake_packet|video_context_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,script_segment_quality_gate|video_context_quality_gate,True,True,True,PASS_PLANNING_ONLY,
music_sfx_context,music_sfx_context,S-210-final-script-packager|P-303-asset-brief-creator,music_sfx_packet|script_segment_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,music_sfx_quality_gate|script_segment_quality_gate,True,True,True,PASS_PLANNING_ONLY,
editing_packaging,editing_packaging,S-210-final-script-packager|P-302-platform-format-specialist,editing_timeline_packet|script_segment_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,editing_timeline_quality_gate|script_segment_quality_gate,True,True,True,PASS_PLANNING_ONLY,
provider_handoff,provider_handoff,S-210-final-script-packager|DIRECTOR:_KAMA,provider_handoff_packet|script_segment_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,provider_handoff_gate|script_segment_quality_gate,True,True,True,PASS_PLANNING_ONLY,
media_quality_gate,media_quality_gate,S-210-final-script-packager|A-405-media-qa-validator,media_quality_gate_packet|script_segment_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,media_quality_gate|script_segment_quality_gate,True,True,True,PASS,
lineage_tracking,lineage,A-405-media-qa-validator|P-304-lineage-chain-validator,lineage_packet|media_quality_gate_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,lineage_integrity_gate|media_quality_gate,True,True,True,PASS,
approval_gate,approval,P-304-lineage-chain-validator|DIRECTOR:_KAMA,approval_packet|lineage_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,approval_gate|lineage_integrity_gate,True,True,True,PASS,
segment_regeneration,approval,P-304-lineage-chain-validator|DIRECTOR:_KAMA,approval_packet|lineage_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,approval_gate|lineage_integrity_gate,True,True,True,PASS,
operator_packet_generation,script_generation,agastya_agent|S-201-research-to-script-brief|S-202-first-draft-generation|S-210-final-script-packager|A-405-media-qa-validator|P-304-lineage-chain-validator|DIRECTOR:_KAMA,approval_packet|lineage_packet|media_quality_gate_packet|research_brief_packet|script_segment_packet|script_strategy_packet|script_v1_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,approval_gate|lineage_integrity_gate|media_quality_gate|research_brief_quality_gate|script_quality_gate|script_segment_quality_gate|script_strategy_quality_gate,True,True,True,PASS,
non_codex_operator_handoff,script_generation,agastya_agent|S-201-research-to-script-brief|S-202-first-draft-generation|S-210-final-script-packager|A-405-media-qa-validator|P-304-lineage-chain-validator|DIRECTOR:_KAMA,approval_packet|lineage_packet|media_quality_gate_packet|research_brief_packet|script_segment_packet|script_strategy_packet|script_v1_packet|topic_intake_packet,True,communication_vein_validation_pass|lifecycle_validation_pass|packet_flow_validation_pass|packet_schema_validation_pass|provider_boundary_validation_pass|route_dag_validation_pass,approval_gate|lineage_integrity_gate|media_quality_gate|research_brief_quality_gate|script_quality_gate|script_segment_quality_gate|script_strategy_quality_gate,True,True,True,PASS,
