file_path,repo_layer,behavior_relevance,relevant_laws,previous_status,action_taken,final_status,reason
skills/script_intelligence/S-202-first-draft-generation.py,EXECUTABLE_SKILL,active DAG draft producer,"duration-aware re-hook map; English master",MISSING_PATCH,UPDATED,ENFORCES,"emits recurring re-hook map"
skills/script_intelligence/S-210-final-script-packager.py,EXECUTABLE_SKILL,active DAG final packager,"rehook preservation and validation",MISSING_PATCH,UPDATED,ENFORCES,"carries re-hooks into final packet"
skills/media_production/A-405-media-qa-validator.py,EXECUTABLE_SKILL,active DAG media QA,"rehook sync evidence",MISSING_PATCH,UPDATED,ENFORCES,"adds downstream sync check"
skills/context_engineering/P-304-lineage-chain-validator.py,EXECUTABLE_SKILL,active DAG lineage QA,"rehook lineage evidence",MISSING_PATCH,UPDATED,ENFORCES,"keeps re-hook chain visible"
skills/script_intelligence_army/M-031-mrbeast-hook-system.py,EXECUTABLE_SKILL,opening hook runtime,"opening variants only",MISSING_PATCH,UPDATED,ENFORCES,"emits opening-only boundary"
skills/script_intelligence_army/M-032-pattern-interrupt-engine.py,EXECUTABLE_SKILL,pattern interrupt runtime,"multi-context re-hook accents",MISSING_PATCH,UPDATED,ENFORCES,"emits production target fields"
skills/script_intelligence_army/M-033-curiosity-gap-generator.py,EXECUTABLE_SKILL,curiosity runtime,"topic-bound curiosity re-hooks",MISSING_PATCH,UPDATED,ENFORCES,"requires payoff mapping"
skills/script_intelligence_army/M-034-micro-cliffhanger-engine.py,EXECUTABLE_SKILL,cliffhanger runtime,"story twist resets; beat binding",MISSING_PATCH,UPDATED,ENFORCES,"marks section boundary resets"
skills/script_intelligence_army/M-035-engagement-loop-builder.py,EXECUTABLE_SKILL,engagement runtime,"70-90 interval; max gap 90",MISSING_PATCH,UPDATED,ENFORCES,"emits loop-density rule"
skills/script_intelligence_army/M-036-emotional-spike-system.py,EXECUTABLE_SKILL,emotion runtime,"scene-synced emotional re-hooks",MISSING_PATCH,UPDATED,ENFORCES,"emits media field requirements"
skills/script_intelligence_army/M-039-re-hook-system.py,EXECUTABLE_SKILL,recurring hook runtime,"duration-aware map; CTA hook",MISSING_PATCH,UPDATED,ENFORCES,"computes required internal map"
skills/script_intelligence_army/M-040-story-momentum-engine.py,EXECUTABLE_SKILL,story runtime,"topic-connected narrative reset",MISSING_PATCH,UPDATED,ENFORCES,"emits story re-hook requirement"
skills/script_intelligence_army/M-042-editing-optimization-engine.py,EXECUTABLE_SKILL,editing runtime,"pattern interrupt fields",MISSING_PATCH,UPDATED,ENFORCES,"emits caption visual audio transition and platform requirements"
skills/sub_skills/SS-240-hook-variation-generator.py,EXECUTABLE_SKILL,atomic hook runtime,"opening variants; recurring owner",MISSING_PATCH,UPDATED,ENFORCES,"emits separation rule"
skills/sub_skills/SS-241-open-loop-generator.py,EXECUTABLE_SKILL,atomic loop runtime,"70-90 loops; payoff map",MISSING_PATCH,UPDATED,ENFORCES,"emits recurring loop requirement"
skills/sub_skills/SS-242-story-tension-builder.py,EXECUTABLE_SKILL,atomic tension runtime,"major-section resets",MISSING_PATCH,UPDATED,ENFORCES,"emits tension reset fields"
skills/sub_skills/SS-243-pacing-controller.py,EXECUTABLE_SKILL,atomic pacing runtime,"dynamic interval; max gap",MISSING_PATCH,UPDATED,ENFORCES,"emits pacing guardrails"
skills/sub_skills/SS-244-retention-loop-engine.py,EXECUTABLE_SKILL,atomic retention runtime,"five-minute minimum; CTA",MISSING_PATCH,UPDATED,ENFORCES,"emits density requirement"
skills/sub_skills/SS-245-cliffhanger-designer.py,EXECUTABLE_SKILL,atomic cliffhanger runtime,"beat and influence mapping",MISSING_PATCH,UPDATED,ENFORCES,"emits mapping requirements"
