component_id,component_path,component_layer,route_profile,route_family,lifecycle_status,active_runtime,reason
DIRECTOR:_NARADA,directors/strategy/narada.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_RAVANA,directors/strategy/ravana.md,DIRECTOR,provider_handoff_profile,"provider_handoff, full_video_pipeline",DORMANT_FUTURE,False,provider/n8n/external execution path kept disabled
DIRECTOR:_YUDHISHTHIRA,directors/strategy/yudhishthira.md,DIRECTOR,approval_gate_profile,"approval_gate, repo_write_mode",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_BRAHMA,directors/supreme_vision/brahma.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_KRISHNA,directors/supreme_vision/krishna.md,DIRECTOR,approval_gate_profile,"approval_gate, repo_write_mode",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_SHAKTI,directors/supreme_vision/shakti.md,DIRECTOR,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
shiva,directors/supreme_vision/shiva.md,DIRECTOR,lineage_profile,"lineage_summary, approval_gate",ACTIVE_CORE,True,profile mapped to active route DAG
DIRECTOR:_VISHNU,directors/supreme_vision/vishnu.md,DIRECTOR,approval_gate_profile,"approval_gate, repo_write_mode",ACTIVE_CORE,True,profile mapped to active route DAG
AGENT_RUNTIME_REGISTRY,agents/AGENT_RUNTIME_REGISTRY.yaml,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
agastya_agent,agents/agastya/agastya_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
agent_control_plane_001_agent,agents/agent_control_plane_001/agent_control_plane_001_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_control_plane_002_agent,agents/agent_control_plane_002/agent_control_plane_002_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_control_plane_003_agent,agents/agent_control_plane_003/agent_control_plane_003_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_control_plane_004_agent,agents/agent_control_plane_004/agent_control_plane_004_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_control_plane_005_agent,agents/agent_control_plane_005/agent_control_plane_005_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_evolution_001_agent,agents/agent_evolution_001/agent_evolution_001_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_evolution_002_agent,agents/agent_evolution_002/agent_evolution_002_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_evolution_003_agent,agents/agent_evolution_003/agent_evolution_003_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_evolution_004_agent,agents/agent_evolution_004/agent_evolution_004_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_evolution_005_agent,agents/agent_evolution_005/agent_evolution_005_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_governance_001_agent,agents/agent_governance_001/agent_governance_001_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_governance_002_agent,agents/agent_governance_002/agent_governance_002_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_governance_003_agent,agents/agent_governance_003/agent_governance_003_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_governance_004_agent,agents/agent_governance_004/agent_governance_004_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_governance_005_agent,agents/agent_governance_005/agent_governance_005_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_governance_006_agent,agents/agent_governance_006/agent_governance_006_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_governance_007_agent,agents/agent_governance_007/agent_governance_007_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_governance_008_agent,agents/agent_governance_008/agent_governance_008_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_governance_009_agent,agents/agent_governance_009/agent_governance_009_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_governance_010_agent,agents/agent_governance_010/agent_governance_010_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_001_agent,agents/agent_kernel_001/agent_kernel_001_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_002_agent,agents/agent_kernel_002/agent_kernel_002_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_003_agent,agents/agent_kernel_003/agent_kernel_003_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_004_agent,agents/agent_kernel_004/agent_kernel_004_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_005_agent,agents/agent_kernel_005/agent_kernel_005_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_006_agent,agents/agent_kernel_006/agent_kernel_006_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_007_agent,agents/agent_kernel_007/agent_kernel_007_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_008_agent,agents/agent_kernel_008/agent_kernel_008_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_009_agent,agents/agent_kernel_009/agent_kernel_009_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_010_agent,agents/agent_kernel_010/agent_kernel_010_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_011_agent,agents/agent_kernel_011/agent_kernel_011_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_kernel_012_agent,agents/agent_kernel_012/agent_kernel_012_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_001_agent,agents/agent_media_001/agent_media_001_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_002_agent,agents/agent_media_002/agent_media_002_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_003_agent,agents/agent_media_003/agent_media_003_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_004_agent,agents/agent_media_004/agent_media_004_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_005_agent,agents/agent_media_005/agent_media_005_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_006_agent,agents/agent_media_006/agent_media_006_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_007_agent,agents/agent_media_007/agent_media_007_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_008_agent,agents/agent_media_008/agent_media_008_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_009_agent,agents/agent_media_009/agent_media_009_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_010_agent,agents/agent_media_010/agent_media_010_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_011_agent,agents/agent_media_011/agent_media_011_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_012_agent,agents/agent_media_012/agent_media_012_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_013_agent,agents/agent_media_013/agent_media_013_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_014_agent,agents/agent_media_014/agent_media_014_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_015_agent,agents/agent_media_015/agent_media_015_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_016_agent,agents/agent_media_016/agent_media_016_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_017_agent,agents/agent_media_017/agent_media_017_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_018_agent,agents/agent_media_018/agent_media_018_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_019_agent,agents/agent_media_019/agent_media_019_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_media_020_agent,agents/agent_media_020/agent_media_020_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_plugin_runtime_001_agent,agents/agent_plugin_runtime_001/agent_plugin_runtime_001_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
agent_plugin_runtime_002_agent,agents/agent_plugin_runtime_002/agent_plugin_runtime_002_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
agent_plugin_runtime_003_agent,agents/agent_plugin_runtime_003/agent_plugin_runtime_003_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
agent_plugin_runtime_004_agent,agents/agent_plugin_runtime_004/agent_plugin_runtime_004_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
agent_recovery_001_agent,agents/agent_recovery_001/agent_recovery_001_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_recovery_002_agent,agents/agent_recovery_002/agent_recovery_002_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_recovery_003_agent,agents/agent_recovery_003/agent_recovery_003_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_recovery_004_agent,agents/agent_recovery_004/agent_recovery_004_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_recovery_005_agent,agents/agent_recovery_005/agent_recovery_005_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_recovery_006_agent,agents/agent_recovery_006/agent_recovery_006_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_recovery_007_agent,agents/agent_recovery_007/agent_recovery_007_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_recovery_008_agent,agents/agent_recovery_008/agent_recovery_008_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_001_agent,agents/agent_research_001/agent_research_001_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_002_agent,agents/agent_research_002/agent_research_002_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_003_agent,agents/agent_research_003/agent_research_003_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_004_agent,agents/agent_research_004/agent_research_004_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_005_agent,agents/agent_research_005/agent_research_005_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_006_agent,agents/agent_research_006/agent_research_006_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_007_agent,agents/agent_research_007/agent_research_007_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_008_agent,agents/agent_research_008/agent_research_008_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_009_agent,agents/agent_research_009/agent_research_009_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_010_agent,agents/agent_research_010/agent_research_010_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_011_agent,agents/agent_research_011/agent_research_011_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_012_agent,agents/agent_research_012/agent_research_012_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_013_agent,agents/agent_research_013/agent_research_013_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_014_agent,agents/agent_research_014/agent_research_014_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_015_agent,agents/agent_research_015/agent_research_015_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_016_agent,agents/agent_research_016/agent_research_016_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_017_agent,agents/agent_research_017/agent_research_017_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agent_research_018_agent,agents/agent_research_018/agent_research_018_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",DUPLICATE_CANDIDATE,False,numbered family candidate; keep non-core until promoted
agni_agent,agents/agni/agni_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
arjuna_agent,agents/arjuna/arjuna_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
aruna_agent,agents/aruna/aruna_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
brahma_agent,agents/brahma/brahma_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
chanakya_agent,agents/chanakya/chanakya_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
chandra_agent,agents/chandra/chandra_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
chitragupta_agent,agents/chitragupta/chitragupta_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
agent_class_matrix,agents/common/agent_class_matrix.py,AGENT,general_support_profile,"non_content_technical_task, general_support",ACTIVE_SUPPORT,True,support profile consumed by active core routes
director_authority_profiles,agents/common/director_authority_profiles.py,AGENT,lineage_profile,"lineage_summary, approval_gate",ACTIVE_CORE,True,profile mapped to active route DAG
director_binding_matrix,agents/common/director_binding_matrix.py,AGENT,general_support_profile,"non_content_technical_task, general_support",ACTIVE_SUPPORT,True,support profile consumed by active core routes
production_agent_base,agents/common/production_agent_base.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
sub_agent_matrix,agents/common/sub_agent_matrix.py,AGENT,general_support_profile,"non_content_technical_task, general_support",ACTIVE_SUPPORT,True,support profile consumed by active core routes
workflow_binding_contracts,agents/common/workflow_binding_contracts.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
workflow_sub_agent_base,agents/common/workflow_sub_agent_base.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
durga_agent,agents/durga/durga_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
ganesha_agent,agents/ganesha/ganesha_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
garuda_agent,agents/garuda/garuda_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
hanuman_agent,agents/hanuman/hanuman_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
indra_agent,agents/indra/indra_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
kama_agent,agents/kama/kama_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
krishna_agent,agents/krishna/krishna_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
kubera_agent,agents/kubera/kubera_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
Narada_Data_Ingestion_Agent_v2,agents/narada/narada_agent.py,AGENT,media_quality_gate_profile,"quality_gate, full_video_pipeline",ACTIVE_CORE,True,profile mapped to active route DAG
nataraja_agent,agents/nataraja/nataraja_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
parashara_agent,agents/parashara/parashara_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
ravana_agent,agents/ravana/ravana_agent.py,AGENT,research_synthesis_profile,"trend_research, topic_discovery, script_generation",ACTIVE_CORE,True,profile mapped to active route DAG
